fund_id,portfolio_investment_id,cut_of_date,first_check_mo_ic,irr,multiple,display_name,domicile_country,entry_round,industries,fund_name
30a29e80-a9d1-11eb-a093-a310d00cd0dc,08b73f6c-adae-11eb-8f3a-934f8fd23e98,2016-05-31 23:59:59.999000 UTC,0.0,0.0,0.0,Klang Games,DE - Germany,Series A,"[""Apps"",""Gaming"",""Media and Entertainment"",""Mobile"",""Software""]",Up and Coming Fund II
30a29e80-a9d1-11eb-a093-a310d00cd0dc,1713f6c6-acb5-11eb-8cf2-eb971f88fb04,2015-12-31 23:59:59.999000 UTC,0.0,0.0,0.0,eClinicalWorks,GB - United Kingdom,Series A,"[""Health Care"",""Information Technology"",""Software""]",Up and Coming Fund II
30a27446-a9d1-11eb-a092-ab37cf46ea5e,37bdc764-adad-11eb-bd95-2389b6a70684,2015-05-31 23:59:59.999000 UTC,0.0,0.0,0.0,Deputy,AU - Australia,,"[""Messaging and Telecommunications"",""Mobile"",""Software""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,37bdc764-adad-11eb-bd95-2389b6a70684,2012-01-31 23:59:59.999000 UTC,0.0,0.0,0.0,Deputy,AU - Australia,,"[""Messaging and Telecommunications"",""Mobile"",""Software""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,37bdc764-adad-11eb-bd95-2389b6a70684,2020-10-31 23:59:59.999000 UTC,0.0,0.0,0.0,Deputy,AU - Australia,,"[""Messaging and Telecommunications"",""Mobile"",""Software""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,37bdc764-adad-11eb-bd95-2389b6a70684,2015-03-31 23:59:59.999000 UTC,0.0,0.0,0.0,Deputy,AU - Australia,,"[""Messaging and Telecommunications"",""Mobile"",""Software""]",Up and Coming Fund I
30a29e80-a9d1-11eb-a093-a310d00cd0dc,511e9afc-acd2-11eb-ac7f-57e7c7b15610,2017-09-30 23:59:59.999000 UTC,0.0,0.0,0.0,Fetch Robotics,US - United States,,"[""Artificial Intelligence"",""Hardware"",""Manufacturing""]",Up and Coming Fund II
30a27446-a9d1-11eb-a092-ab37cf46ea5e,511e9afc-acd2-11eb-ac7f-57e7c7b15610,2020-08-31 23:59:59.999000 UTC,0.0,0.0,0.0,Fetch Robotics,US - United States,,"[""Artificial Intelligence"",""Hardware"",""Manufacturing""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,53b0e092-5ced-11ec-be13-1bc5c0dcaa9b,2015-10-31 23:59:59.999000 UTC,0.0,0.0,0.0,Teo,CZ - Czech Republic,Seed,"[""Consumer Goods""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,53b0e092-5ced-11ec-be13-1bc5c0dcaa9b,2017-11-30 23:59:59.999000 UTC,0.0,0.0,0.0,Teo,CZ - Czech Republic,Seed,"[""Consumer Goods""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,756599fc-af3d-11eb-83b5-ffe412ba47c0,2017-01-31 23:59:59.999000 UTC,0.0,0.0,0.0,(MODEL COMPANY) Jarvify,FR - France,Series C,"[""Artificial Intelligence"",""Data and Analytics"",""Sales and Marketing"",""Software""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,756599fc-af3d-11eb-83b5-ffe412ba47c0,2011-07-31 23:59:59.999000 UTC,0.0,0.0,0.0,(MODEL COMPANY) Jarvify,FR - France,Series C,"[""Artificial Intelligence"",""Data and Analytics"",""Sales and Marketing"",""Software""]",Up and Coming Fund I
30a29e80-a9d1-11eb-a093-a310d00cd0dc,82b4c9c2-ae37-11eb-b8ca-83c7acd8459f,2017-09-30 23:59:59.999000 UTC,0.0,0.0,0.0,Darktrace,US - United States,Series B,"[""Information Technology""]",Up and Coming Fund II
30a27446-a9d1-11eb-a092-ab37cf46ea5e,88ef1232-5c12-11ec-aec1-6360055278a9,2012-01-31 23:59:59.999000 UTC,0.0,0.0,0.0,MediTek,AT - Austria,Series B,"[""Biotechnology"",""Health Care""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,88ef1232-5c12-11ec-aec1-6360055278a9,2010-04-30 23:59:59.999000 UTC,0.0,0.0,0.0,MediTek,AT - Austria,Series B,"[""Biotechnology"",""Health Care""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,88ef1232-5c12-11ec-aec1-6360055278a9,2010-01-31 23:59:59.999000 UTC,0.0,0.0,0.0,MediTek,AT - Austria,Series B,"[""Biotechnology"",""Health Care""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,9b31b484-5cc8-11ec-af45-534db86c3569,2013-09-30 23:59:59.999000 UTC,0.0,0.0,0.0,Etheria Gaming,DE - Germany,Series A,"[""Gaming""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,a0d9f010-5da7-11ec-a914-f3c79c430ec3,2012-12-31 23:59:59.999000 UTC,0.0,0.0,0.0,RoboTech,SK - Slovakia,Series A,"[""Artificial Intelligence"",""Hardware"",""Science and Engineering""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,a4432d42-3e62-11ed-9b09-7b078fd70525,2021-03-31 23:59:59.999000 UTC,0.0,0.0,0.0,Cliq,GB - United Kingdom,,"[""Software""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,a4432d42-3e62-11ed-9b09-7b078fd70525,2022-06-30 23:59:59.999000 UTC,0.0,0.0,0.0,Cliq,GB - United Kingdom,,"[""Software""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,a4432d42-3e62-11ed-9b09-7b078fd70525,2020-11-30 23:59:59.999000 UTC,0.0,0.0,0.0,Cliq,GB - United Kingdom,,"[""Software""]",Up and Coming Fund I
30a27446-a9d1-11eb-a092-ab37cf46ea5e,a4432d42-3e62-11ed-9b09-7b078fd70525,2019-08-31 23:59:59.999000 UTC,0.0,0.0,0.0,Cliq,GB - United Kingdom,,"[""Software""]",Up and Coming Fund I
